shop_id,earnings_per_store,total_items_sold
2,66047.0,54
3,44962.0,22
4,19574.0,26
5,22092.0,30
6,77568.0,100
7,34914.0,42
10,15138.0,20
12,141464.266666666,144
14,22304.0,34
15,83426.0,62
16,79684.0,44
18,23594.0,64
19,40672.0,40
21,149879.0,120
22,83110.0,94
24,37970.0,46
25,187864.0,208
26,79350.0,74
27,104216.0,120
28,117076.0,164
29,57158.0,48
31,178732.0,268
34,8078.0,12
35,59558.0,56
37,141402.0,42
38,48988.0,44
39,20246.0,36
41,24560.0,20
42,218576.0,166
44,95380.0,34
45,32738.0,64
46,62123.6,66
47,53428.0,52
48,21830.0,42
49,23856.0,22
50,94672.0,46
51,6190.0,16
52,43674.68,48
53,33262.0,52
54,79568.0,130
55,48408.4,120
56,31406.0,50
57,146156.0,216
58,90212.0,112
59,74902.0,74
